id,userId,title,targetDate,status,skills,milestones
goal_1,student,Master React.js and Node.js backend,2026-08-15,In Progress,React.js|Node.js,Learn React basics:Completed|Build rich dashboard UI:Completed|Build secure Express backend API:In Progress|Deploy Full-Stack applet:Not Started
goal_2,student,Get AWS Certified Practitioner,2026-07-20,Not Started,AWS/Cloud Services,Read AWS Whitepapers:Not Started|Take practice exam:Not Started|Schedule certification test:Not Started
goal_3,student,Complete Technical Personality Mock Interviews,2026-06-12,Completed,Communication,Prepare standard answers:Completed|Do peer-to-peer review mockups:Completed|Refine behavioral questions:Completed

goal_4,user_2,Become a Frontend Developer,2026-09-10,In Progress,React.js|TypeScript|CSS,Learn React Hooks:Completed|Build Portfolio Website:In Progress|Master State Management:Not Started
goal_5,user_3,Learn Backend Development,2026-10-01,Not Started,Node.js|Express.js|MongoDB,Learn Node.js Basics:Not Started|Create REST APIs:Not Started|Deploy Backend Application:Not Started
goal_6,user_4,Become a Data Scientist,2026-12-15,In Progress,Python|Pandas|Machine Learning,Complete Python Course:Completed|Learn Data Visualization:Completed|Build ML Project:In Progress|Create Portfolio:Not Started
goal_7,user_5,Master DevOps Tools,2026-11-30,In Progress,Docker|Kubernetes|CI/CD,Learn Docker Fundamentals:Completed|Create CI/CD Pipeline:In Progress|Deploy Kubernetes Cluster:Not Started
goal_8,user_6,Get Azure Certification,2026-08-20,Not Started,Azure|Cloud Computing,Study Azure Fundamentals:Not Started|Take Practice Tests:Not Started|Schedule Exam:Not Started
goal_9,user_7,Build Cybersecurity Skills,2026-09-25,In Progress,Cyber Security|Networking|Linux,Learn Linux Commands:Completed|Study Network Security:In Progress|Complete Security Labs:Not Started
goal_10,user_8,Become a Mobile App Developer,2026-10-20,Not Started,Flutter|Dart|Firebase,Learn Dart Language:Not Started|Build Flutter App:Not Started|Publish App:Not Started
goal_11,user_9,Master SQL and Databases,2026-07-30,Completed,SQL|MySQL|PostgreSQL,Learn SQL Queries:Completed|Database Design:Completed|Build Database Project:Completed
goal_12,user_10,Learn Cloud Architecture,2026-12-01,In Progress,AWS/Cloud Services|Docker|Terraform,AWS Fundamentals:Completed|Learn Infrastructure as Code:In Progress|Deploy Cloud Project:Not Started
goal_13,user_11,Improve Coding Interview Skills,2026-08-31,In Progress,DSA|Problem Solving,Complete Arrays and Strings:Completed|Practice Trees and Graphs:In Progress|Mock Interviews:Not Started
goal_14,user_12,Become an AI Engineer,2027-01-15,Not Started,Python|TensorFlow|PyTorch,Learn Deep Learning Basics:Not Started|Build Neural Network Models:Not Started|Complete AI Project:Not Started
goal_15,user_13,Learn UI/UX Design,2026-09-05,In Progress,Figma|UI/UX Design,Learn Figma Tools:Completed|Create Wireframes:In Progress|Design Complete App UI:Not Started
goal_16,user_14,Become a Cloud Architect,2027-02-01,Not Started,AWS/Cloud Services|Azure|Google Cloud,Master AWS Services:Not Started|Learn Azure Architecture:Not Started|Design Multi-Cloud Solution:Not Started
goal_17,user_15,Master Data Engineering,2026-12-20,In Progress,Spark|Hadoop|Data Engineering,Learn Big Data Concepts:Completed|Create ETL Pipeline:In Progress|Deploy Data Lake:Not Started
goal_18,user_16,Get CompTIA Security+ Certification,2026-08-15,Not Started,Cyber Security,Study Security Fundamentals:Not Started|Take Mock Exams:Not Started|Book Certification Exam:Not Started
goal_19,user_17,Become a Product Manager,2026-11-10,In Progress,Agile|Product Management,Learn Agile Methodology:Completed|Create Product Roadmap:In Progress|Lead Mock Product Launch:Not Started
goal_20,user_18,Build Full Stack Portfolio,2026-10-31,In Progress,React.js|Node.js|MongoDB,Create Personal Website:Completed|Develop Full Stack Project:In Progress|Deploy Portfolio:Not Started
goal_21,user_19,Learn Blockchain Development,2027-01-05,Not Started,Blockchain|Solidity|Ethereum,Study Blockchain Basics:Not Started|Write Smart Contracts:Not Started|Build DApp Project:Not Started
goal_22,user_20,Master Machine Learning,2026-12-31,In Progress,Machine Learning|Python|Scikit-learn,Complete ML Course:Completed|Build Prediction Model:In Progress|Deploy ML Application:Not Started
goal_23,user_21,Become a Software Architect,2027-03-15,Not Started,System Design|Microservices|Cloud Computing,Learn Design Patterns:Not Started|Study System Design:Not Started|Architect Enterprise Project:Not Started
goal_24,user_22,Develop Communication Skills,2026-08-01,Completed,Communication,Join Speaking Sessions:Completed|Practice Presentations:Completed|Receive Feedback:Completed
goal_25,user_23,Learn Kubernetes Administration,2026-10-15,In Progress,Kubernetes|Docker,Container Basics:Completed|Deploy Kubernetes Cluster:In Progress|Learn Monitoring:Not Started
goal_26,user_24,Become a QA Automation Engineer,2026-09-20,Not Started,Selenium|JUnit|Automation Testing,Learn Selenium Basics:Not Started|Write Test Scripts:Not Started|Automate Sample Project:Not Started
goal_27,user_25,Build AI Chatbot Project,2026-11-25,In Progress,Python|NLP|Transformers,Study NLP Concepts:Completed|Train Chatbot Model:In Progress|Deploy Chatbot:Not Started
goal_28,user_26,Learn Data Visualization,2026-08-18,Completed,Power BI|Tableau,Power BI Basics:Completed|Dashboard Design:Completed|Interactive Reports:Completed
goal_29,user_27,Master Linux Administration,2026-09-30,In Progress,Linux|Shell Scripting,Linux Fundamentals:Completed|Shell Scripts:In Progress|Server Administration:Not Started
goal_30,user_28,Become a Generative AI Developer,2027-01-30,Not Started,LLMs|Prompt Engineering|Python,Study LLM Concepts:Not Started|Build AI Assistant:Not Started|Deploy GenAI App:Not Started
goal_31,user_31,Master React and Next.js,2026-10-20,In Progress,React.js|Next.js|TypeScript,Complete React Advanced Topics:Completed|Build Next.js Project:In Progress|Deploy Production App:Not Started
goal_32,user_32,Become a Backend Engineer,2026-11-15,Not Started,Java|Spring Boot|MySQL,Learn Spring Boot Basics:Not Started|Build REST API:Not Started|Deploy Backend Service:Not Started
goal_33,user_33,Earn AWS Solutions Architect Certification,2027-02-20,In Progress,AWS|Cloud Computing|Architecture,Study Core AWS Services:Completed|Practice Architecture Scenarios:In Progress|Take Certification Exam:Not Started
goal_34,user_34,Build Data Engineering Pipeline,2026-12-10,In Progress,Python|Apache Spark|SQL,Learn ETL Concepts:Completed|Develop Spark Pipeline:In Progress|Deploy Data Warehouse:Not Started
goal_35,user_35,Become a Cybersecurity Expert,2027-01-25,Not Started,Cyber Security|Ethical Hacking|Linux,Study Ethical Hacking:Not Started|Practice Penetration Testing:Not Started|Earn CEH Certification:Not Started
goal_36,user_36,Develop Product Management Skills,2026-09-18,In Progress,Product Management|Agile,Learn Agile Framework:Completed|Prepare Product Strategy:In Progress|Launch Sample Product:Not Started
goal_37,user_37,Master Automation Testing,2026-10-28,In Progress,Selenium|TestNG|Java,Learn Selenium WebDriver:Completed|Create Automation Suite:In Progress|Integrate CI Testing:Not Started
goal_38,user_38,Build AI Recommendation System,2027-02-10,Not Started,Python|Machine Learning|TensorFlow,Study Recommendation Algorithms:Not Started|Train AI Model:Not Started|Deploy Recommendation API:Not Started
goal_39,user_39,Learn Business Intelligence,2026-09-05,Completed,Power BI|SQL|Tableau,Learn Power BI:Completed|Build Dashboard:Completed|Present Business Insights:Completed
