id,userId,type,score,answers,recommendations,createdAt
assess_riasec_1,student,RIASEC,85,Realistic:4|Investigative:5|Artistic:3|Social:2|Enterprising:3|Conventional:2,Great fit for analytical technical roles such as Full-Stack Development and Data Science. Develop Investigative projects.,2026-06-08T12:00:00Z
assess_aptitude_1,student,Aptitude,78,Logical:80|Quantitative:75|Verbal:80,Enhance data structures and algorithms practice. Focus on time-boxed quantitative problem solving.,2026-06-08T14:30:00Z
assess_personality_1,student,Personality,90,Openness:85|Conscientiousness:90|Extraversion:60|Agreeableness:80|Neuroticism:30,Thrives in remote self-directed environments. Excellent team player in modern collaborative workspaces.,2026-06-09T09:12:00Z

assess_riasec_2,student,RIASEC,88,Realistic:3|Investigative:5|Artistic:4|Social:3|Enterprising:2|Conventional:2,Strong analytical and creative thinking. Suitable for AI Engineering and Software Development roles.,2026-06-10T10:15:00Z
assess_riasec_3,student,RIASEC,82,Realistic:2|Investigative:4|Artistic:5|Social:3|Enterprising:3|Conventional:2,Consider UI/UX Design and Frontend Development. Build creative portfolio projects.,2026-06-11T11:20:00Z
assess_riasec_4,student,RIASEC,91,Realistic:4|Investigative:5|Artistic:2|Social:2|Enterprising:4|Conventional:3,Excellent fit for Cybersecurity and Cloud Engineering. Gain industry certifications.,2026-06-12T08:45:00Z

assess_aptitude_2,student,Aptitude,84,Logical:90|Quantitative:82|Verbal:80,Strong reasoning ability. Focus on competitive coding and advanced algorithms.,2026-06-10T13:10:00Z
assess_aptitude_3,student,Aptitude,72,Logical:70|Quantitative:68|Verbal:78,Improve quantitative aptitude through daily practice. Strengthen problem-solving speed.,2026-06-11T15:30:00Z
assess_aptitude_4,student,Aptitude,89,Logical:92|Quantitative:88|Verbal:87,Excellent aptitude profile. Suitable for software engineering and technical interviews.,2026-06-12T16:05:00Z

assess_personality_2,student,Personality,87,Openness:88|Conscientiousness:85|Extraversion:70|Agreeableness:78|Neuroticism:25,Adaptable and innovative. Well-suited for agile development teams and leadership roles.,2026-06-10T09:25:00Z
assess_personality_3,student,Personality,81,Openness:75|Conscientiousness:88|Extraversion:55|Agreeableness:82|Neuroticism:35,Highly dependable and detail-oriented. Suitable for QA Engineering and Project Coordination.,2026-06-11T12:40:00Z
